Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
285,February,2014,adult,Macbride,0.302,0,NA,NA,SC,NA,NA,SC,NA,Louisa,R,NA,R
286,February,2014,juvenile,SOAR,0.458,0,NA,NA,SC,NA,NA,SC,N,Pottawattamie,Died,NA,NotR
287,February,2014,adult,Macbride,0.65,0,NA,NA,C,NA,NA,C,NA,NA,Died,NA,NotR
288,March,2014,adult,Macbride,0.65,0,NA,NA,C,NA,NA,C,NA,Jones,R,NA,R
289,March,2014,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
290,March,2014,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Louisa,Died,NA,NotR
291,March,2014,adult,SOAR,0.197,0,NA,NA,B,NA,NA,B,NA,Marion,R,NA,R
292,March,2014,juvenile,SOAR,0.127,0,NA,NA,B,NA,NA,B,NA,Winneshiek,R,NA,R
293,April,2014,adult,SOAR,0.03,0,NA,NA,B,NA,NA,B,NA,Appanoose,EU,NA,NotR
294,April,2014,adult,SOAR,0.15,0,NA,NA,B,NA,NA,B,N,Davis,EU,NA,NotR
295,April,2014,adult,WCC,7,0,NA,NA,C,NA,NA,C,NA,Franklin,Died,NA,NotR
296,April,2014,adult,Macbride,0.039,0,NA,NA,B,NA,NA,B,NA,Linn,EU,NA,NotR
297,April,2014,NA,Macbride,0.65,0,NA,NA,C,NA,NA,C,NA,Linn,EU,NA,NotR
298,April,2014,NA,Macbride,0.309,0,NA,NA,SC,NA,NA,SC,NA,Scott,EU,NA,NotR
299,April,2014,adult,SOAR,NA,NA,0.8,NA,NA,B,NA,B,N,Shelby,DOA,NA,NotR
300,May,2014,adult,SOAR,NA,NA,0.5,NA,NA,B,NA,B,N,Dickinson,EU,NA,NotR
301,June,2014,<1,SOAR,0.05,0,NA,NA,B,NA,NA,B,N,Winneshiek,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
302,July,2014,<1,SOAR,0.026,0,NA,NA,B,NA,NA,B,NA,Buchanan,Died,NA,NotR
303,July,2014,juvenile,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,N,Dickinson,EU,NA,NotR
304,July,2014,<1,SOAR,0.016,0,NA,NA,B,NA,NA,B,N,Sioux,R,NA,R
